caso,n,algoritmo_num,algoritmo,tiempo_s,timestamp
1,64,1,NaivOnArray,0.02374,2026-04-26T13:45:20.894368
1,64,2,NaivLoopUnrollingTwo,0.026637,2026-04-26T13:45:20.921231
1,64,3,NaivLoopUnrollingFour,0.023576,2026-04-26T13:45:20.945024
1,64,4,WinogradOriginal,0.021661,2026-04-26T13:45:20.966937
1,64,5,WinogradScaled,0.017755,2026-04-26T13:45:20.984913
1,64,6,StrassenNaiv,0.025463,2026-04-26T13:45:21.010649
1,64,7,StrassenWinograd,0.029158,2026-04-26T13:45:21.040112
1,64,8,III.3 Sequential Block,0.001745,2026-04-26T13:45:21.042083
1,64,9,III.4 Parallel Block,0.001551,2026-04-26T13:45:21.043967
1,64,10,III.5 Enhanced Parallel,0.004898,2026-04-26T13:45:21.049209
1,64,11,IV.3 Sequential Block,0.001643,2026-04-26T13:45:21.051149
1,64,12,IV.4 Parallel Block,0.001606,2026-04-26T13:45:21.052982
1,64,13,IV.5 Enhanced Parallel,0.005126,2026-04-26T13:45:21.058359
1,64,14,V.3 Sequential Block,0.039179,2026-04-26T13:45:21.097813
1,64,15,V.4 Parallel Block,0.037122,2026-04-26T13:45:21.135375
2,128,1,NaivOnArray,0.191762,2026-04-26T13:45:21.334163
2,128,2,NaivLoopUnrollingTwo,0.212242,2026-04-26T13:45:21.546710
2,128,3,NaivLoopUnrollingFour,0.19589,2026-04-26T13:45:21.742806
2,128,4,WinogradOriginal,0.17035,2026-04-26T13:45:21.913439
2,128,5,WinogradScaled,0.13363,2026-04-26T13:45:22.047372
2,128,6,StrassenNaiv,0.175718,2026-04-26T13:45:22.223473
2,128,7,StrassenWinograd,0.160215,2026-04-26T13:45:22.383914
2,128,8,III.3 Sequential Block,0.00304,2026-04-26T13:45:22.387314
2,128,9,III.4 Parallel Block,0.002906,2026-04-26T13:45:22.390395
2,128,10,III.5 Enhanced Parallel,0.005092,2026-04-26T13:45:22.395680
2,128,11,IV.3 Sequential Block,0.00295,2026-04-26T13:45:22.398818
2,128,12,IV.4 Parallel Block,0.003051,2026-04-26T13:45:22.402093
2,128,13,IV.5 Enhanced Parallel,0.00651,2026-04-26T13:45:22.408817
2,128,14,V.3 Sequential Block,0.211879,2026-04-26T13:45:22.621321
2,128,15,V.4 Parallel Block,0.216788,2026-04-26T13:45:22.838489
